SMILES,LHV
CC(C)(C)OOCC1CO1,29
CCCCCCC,45
CCCCC(C)C,45
CCCCCCCO,37
CCCCCC(C)O,37
CCOC(OCC)OCC,27
CC(=O)C1=CC=CC=C1,34
CC1=CC=C(C=C1)C(=O)O,28
COC1=CC=C(C=C1)C(=O)O,24
CC1=CC=CC=C1C,41
CC1=CC(=CC=C1)C,41
CC1=CC=C(C=C1)C,41
CC1=C(C(=CC=C1)C)O,34
CC1=CC(=C(C=C1)O)C,34
CC1=C(C(=CC=C1)O)C,34
CC1=CC(=C(C=C1)C)O,34
CC1=CC(=C(C=C1)O)OC,29
C=CC1CCC=CC1,43
C1/C=C\CC/C=C\C1,43
CCCCCC#CC,45
CC(=CCCC(=O)C)C,36
CCCCCCC=C,45
CCC1CCCCC1,44
CCCCCCCC=O,37
CCCCCC(=O)OCC,32
CCCCCCCC(=O)O,31
C1COCCOCCOCCO1,25
CCCCCCCC,45
CCCCCC(C)C,45
CCCCCCCCO,38
CC(C)(C)OOC(C)(C)C,34
C(CCCCO)CCCO,33
CC(C)OC(C)OC(C)C,33
C1C=CC2=CC=CC=C21,40
CC#CC1=CC=CC=C1,41
C1CC2=CC=CC=C2C1,41
CC(=O)CC1=CC=CC=C1,35
CC1=CC(=C(C=C1)C)C,41
CCCC1=CC=CC=C1,42
CC1=C(C(=CC=C1)C)C,41
CC1=CC(=C(C(=C1)C)O)C,35
COC(C1=CC=CC=C1)OC,31
C1CC2CCC(C1)C=C2,43
C1CC[C@H]2CCC[C@H]2C1,43
CCCCCCCC#C,45
CCCC1CCCCC1,44
CCCCCCCCC(=O)O,32
CCCCCCCCC,45
CC(C)CCC(C)(C)C,44
CCCCCCCCCO,39
CCCCOCOCCCC,34
