smiles,cn
C=C(CC(C)(C)C)CC(C)(C)CC(C)(C)C,5
CCCCCC=C,32
CCCCCCC=C,40
CCCCCCCCCCCCCCC=C,75.9
CCCCCCCCC(C)CCCCCCCC,66
OCCOCCOC,38.3
C1CCCCCCC1,22.3
CCCCCCCC(CCCC)CCCC,45
CCCCCCCCCCC=C,56.8
CC(=C)C=C,13
CCCCCCC(C)C=CC(C)CCCCCC,43
CC(=CC=C(C)C)C,19.9
C=CCCCCCCC=C,41
CCCCCCCC=C,51
CCCCCCCC=C(CCCCCC)CCCCCC,47
CCCCC=CCC,36
CCCCCCCCCCCCCCCCC(C)C,104
CCCCCCC(C)(C)C,59
CCC(C)CCCC(C)CCCC(C)C,58.6
CCCCCCC(C)C(C)CCCCCC,40
CCC(CC)CC,34.1
CCCCCC,47.9
CCCCCCC,52.8
CCCC(CC)C(CC)CCC,20
CCCCC(CCCC)CCCC,53
CCCCCCCCCCCCCCCC(C)C,91
CC(CC(C)(C)C)CC(C)(C)C,9
CCCCCCCCCC(C)CCC(C)CCCCCCCCC,56
CC(C)C(C)(C)C,12.9
CCC(C)(C)C,24.4
CCCCCCCCC(C)C(C)CCCCCCCC,60
CCCCCCCC,64
CCC(C)CCCC(C)C,51.7
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,15
CCCCCCCCCCCCCCCCCCO,81
CCCCCCCC(CC)CC,48
CCCCCCCCCCCCCCCCC,105
CCCCCCCCCCCCCCCCCCCC,110
CCCC(C)C,34.5
CCCCCCCCCCCCCC,85.1
CCCCCCCCCC,65.5
CCCCCCC(C)CCC(C)C,58
CCCCC(C)CC,45
CCCCCCCCC,60.9
CCC(C)C,24.9
CCCCCCCCCCCCCCCCCCC,110
CCCCC(C)C,43.5
CCCCC,30
CCCCCCCCCCCCCCC,96
CCCCCC(C)C,49.8
CCC(C)CC,30
CCCCCCC(CCC)CCC,39
CCCCCCCCCCC,81
CCCCCCCCCCCCC,90
CC(C)CC(C)(C)C,18
CCCCCCCC(CCC)CCCCCCC,48
CCC(C)C(C)C,22
CCCCCCCCCCCC,72.9
CC(C)CC(C)C,28.6
CC(C)CCC(C)(C)C,24
CCCCCCCCC(CCC)C(CCC)CCCCCCCC,47
CCCCCCCCCCCCCCCCCC,106
CCCCCCCCCCCCCCCC,100
CCCCC(CCCC)C(CCCC)CCCC,30
CCCCCCCCC(CCCCCC)CCCCCC,83
CC(C)CCC(CCC(C)C)C(CCC(C)C)CCC(C)C,48
CCCCCCCCC(CCCCCCC)CCCCCCCC,88
CC1CCCC1,17.2
CC(C)C1CC(CC(C1)C(C)C)C(C)C,25.3
CC(C(CCCCCC)C1CCCCC1)C,63
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,42
CC1CCC=CC1,28
CCCCCC#C,22
C=CC1CCC=CC1,32
